,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
6546,xalbiw_P1,4893.84,1686.34,1774.99,12.14219,5.25029,11.9932
6547,xalcap_P1,4801.27,1671.99,1741.42,12.14022,5.44834,11.86791
6548,xalcet_P1,4796.98,1661.75,1739.86,12.09551,5.10525,11.48741
6549,xalcuj_P1,791.628,271.998,255.982,8.78188,3.81688,4.51331
6550,xaldaq_P1,809.855,279.037,261.876,8.82894,3.77756,4.47913
6551,xaldeu_P1,712.96,250.324,230.544,8.29119,3.54477,4.42565
6552,xaldiy_P1,726.563,253.176,234.942,8.51909,3.59757,4.41789
6553,xaldoe_P1,849.953,290.737,274.842,8.72654,3.87212,4.52067
6554,xalmac_P1_charged,1409.33,1681.92,2634.83,12.81447,10.77264,12.67424
6555,xalmii_P1,2378.17,2290.61,3047.14,9.94192,8.9802,9.94192
6556,xalrot_P1,3420.09,2651.15,2721.03,7.85407,4.28729,7.85407
6560,xamhom04_P1,541.938,1583.78,1239.98,5.64215,2.85992,5.62841
6567,xanlee_P1,1484.54,1811.66,1886.13,5.54117,4.49275,5.51186
6568,xanluv_P1,4695.08,2233.35,3935.49,13.11249,9.19879,12.1441
6569,xapdau_P1,4029.25,2322.68,1916.93,8.2002,7.60102,8.18039
6571,xapged_P1_charged_H,2155.15,1062.0,546.296,7.59117,2.80831,7.57011
6574,xarceb_P1,428.195,1316.76,999.182,7.93575,7.66141,7.93575
6575,xarvar_P1_charged,4837.77,1264.16,1075.75,7.51577,3.96227,7.51577
6576,xaspep_P1_charged_H,1187.2,1585.94,1277.61,8.21663,6.97386,8.21663
6578,xatluc_P1_H,544.353,1130.12,844.962,5.98462,3.96201,5.96614
6579,xatzok_P1_H,1216.04,2531.08,3158.98,8.15661,5.64542,8.15661
6580,xavdef_P1_H,944.682,2041.42,2051.81,7.82457,7.27855,7.82457
6581,xawdor_P1,3348.16,2230.06,2541.01,10.19613,5.00508,10.19613
6582,xawdux01_P1,3636.26,1790.0,1984.0,12.28048,11.26649,12.28029
6583,xawgel_P1_charged,582.928,1058.98,803.527,5.21255,4.18736,5.19671
6584,xawxol_P1,3473.83,2102.38,3038.4,10.86754,8.82235,10.86754
6585,xawzee01_P1,344.031,2054.76,1676.51,5.65749,4.3165,5.65288
6586,xawzee02_P1,364.543,2084.48,1776.47,5.96522,4.37131,5.96421
6587,xawzee_P1,325.362,2025.62,1585.54,5.43135,4.22776,5.42985
6588,xawzuu01_P1,1360.22,2011.11,1657.13,6.33745,4.95121,6.22575
6589,xawzuu02_P1,1432.87,2028.66,1745.64,6.49455,5.07238,6.47015
6590,xawzuu_P1,1294.62,1989.92,1577.21,6.16577,4.82293,6.15224
6591,xaykoa_P1,462.833,2620.75,2372.33,4.32812,3.50323,4.32812
6592,xaykug_P1,867.018,2346.85,2120.74,4.7817,3.65585,4.7817
6594,xayler_P1,308.552,1647.06,1443.65,5.53312,3.01351,5.52461
6595,xaysid_P1,224.263,866.43,704.351,4.46529,2.86314,4.46141
6597,xaysup_P1,331.405,1231.62,1040.86,4.58509,3.07371,4.43843
6598,xaytaw_P1,366.16,1341.35,1150.01,4.47304,3.38542,4.47304
